eventually (adv)	in the end, after a long time	Eventually, she found a job.	finalmente	b1 adverb
reluctant (adj)	unwilling or hesitant	He was reluctant to leave.	reacio	b1 adjective
thorough (adj)	complete and careful	A thorough investigation.	minucioso	b1 adjective
overcome (v)	to defeat or get past	She overcame her fears.	superar	b1 verb irregular
occurrence (n)	an event that happens	A rare occurrence.	suceso	b1 noun
inevitable (adj)	certain to happen	Change is inevitable.	inevitable	b1 adjective
glimpse (n/v)	a brief look	I caught a glimpse of him.	vistazo	b1 noun verb
outweigh (v)	to be more important than	The benefits outweigh the risks.	superar/pesar más	b1 verb
discrepancy (n)	a difference between things	There's a discrepancy in the numbers.	discrepancia	b1 noun academic
assess (v)	to evaluate	We need to assess the damage.	evaluar	b1 verb academic awl
approach (n/v)	a way of dealing with; to come near	A new approach to teaching.	enfoque	b1 noun verb awl
acquire (v)	to obtain	He acquired new skills.	adquirir	b1 verb awl
emerge (v)	to come out or appear	A new pattern emerged.	emerger	b1 verb awl
establish (v)	to set up; to prove	The company was established in 1990.	establecer	b1 verb awl
significant (adj)	important; substantial	A significant improvement.	significativo	b1 adjective awl
appropriate (adj)	suitable	An appropriate response.	apropiado	b1 adjective awl
impact (n/v)	a strong effect	The impact was huge.	impacto	b1 noun verb awl
sufficient (adj)	enough	Sufficient evidence.	suficiente	b1 adjective awl
complex (adj)	complicated	A complex problem.	complejo	b1 adjective awl
reveal (v)	to show what was hidden	Reveal the secret.	revelar	b1 verb awl
come up with (phr)	to invent or produce (an idea)	She came up with a great idea.	idear	b1 phrasal-verb
deal with (phr)	to handle (a situation)	I'll deal with it.	lidiar con	b1 phrasal-verb
look forward to (phr)	to anticipate with pleasure	I look forward to seeing you.	tener ganas de	b1 phrasal-verb
keep up with (phr)	to maintain the pace of	I can't keep up with him.	seguir el ritmo de	b1 phrasal-verb
put up with (phr)	to tolerate	I can't put up with the noise.	aguantar	b1 phrasal-verb
run out of (phr)	to exhaust supply	We ran out of milk.	quedarse sin	b1 phrasal-verb
figure out (phr)	to understand by thinking	I can't figure out the puzzle.	resolver	b1 phrasal-verb
end up (phr)	to finally be in a situation	I ended up staying home.	acabar (en)	b1 phrasal-verb
break down (phr)	to stop functioning	The car broke down.	averiarse	b1 phrasal-verb
get rid of (phr)	to dispose of	Get rid of these old clothes.	deshacerse de	b1 phrasal-verb
take advantage of (chunk)	to exploit a situation	Take advantage of the offer.	aprovechar	b1 chunk
have a point (chunk)	to make a valid argument	You have a point.	tener razón	b1 chunk
make up your mind (chunk)	to decide	Make up your mind already!	decidirse	b1 chunk
reach a conclusion (chunk)	to decide after thinking	We reached a conclusion.	llegar a una conclusión	b1 chunk
provide (v)	to supply something needed	The hotel provides breakfast.	proporcionar	b1 verb freq:top100
lead (v)	to guide	She leads the team.	liderar/llevar	b1 verb irregular freq:top100
consider (v)	to think about carefully	Please consider my offer.	considerar	b1 verb freq:top100
expect (v)	to anticipate	I expect to arrive at noon.	esperar (algo)	b1 verb freq:top100
reach (v)	to arrive at; extend to	We reached the top.	alcanzar	b1 verb freq:top100
remain (v)	to stay in the same condition	The problem remains.	permanecer/quedar	b1 verb freq:top100
require (v)	to need	This job requires patience.	requerir	b1 verb freq:top100
report (v)	to give an account	Report any problems to me.	informar	b1 verb freq:top100
develop (v)	to grow or improve	The country developed quickly.	desarrollar	b1 verb freq:top100
support (v)	to help; to hold up	I support your decision.	apoyar	b1 verb freq:top100
produce (v)	to make	This factory produces cars.	producir	b1 verb freq:top100
cause (v)	to make happen	What caused the accident?	causar	b1 verb freq:top200
allow (v)	to permit	Smoking is not allowed.	permitir	b1 verb freq:top200
make up (phr)	to invent; to reconcile	She made up the story.	inventar/reconciliarse	b1 phrasal-verb
account for (phr)	to explain	How do you account for this?	explicar/justificar	b1 phrasal-verb
analyse (v)	to examine in detail	Scientists analyse the data carefully.	analizar	b1 awl sublist1
assume (v)	to take for granted	I assume you've read the book.	asumir/dar por sentado	b1 awl sublist1
authority (n)	power; an expert	She is an authority on linguistics.	autoridad	b1 awl sublist1
benefit (n/v)	advantage; to gain	The benefits of exercise are clear.	beneficio	b1 awl sublist1
concept (n)	an abstract idea	The concept is hard to grasp.	concepto	b1 awl sublist1
consist (v)	to be made up of	Water consists of hydrogen and oxygen.	consistir en	b1 awl sublist1
context (n)	the situation surrounding an event	In this context, that word means "happy".	contexto	b1 awl sublist1
contract (n/v)	a legal agreement; to shrink	Sign the contract here.	contrato/contraer	b1 awl sublist1
data (n)	information, facts	The data show a clear trend.	datos	b1 awl sublist1
define (v)	to state the meaning of	Define your terms.	definir	b1 awl sublist1
distribute (v)	to give out	They distributed leaflets.	distribuir	b1 awl sublist1
economy (n)	the wealth system of a country	The economy is growing.	economía	b1 awl sublist1
environment (n)	surroundings; nature	A friendly work environment.	ambiente/entorno	b1 awl sublist1
estimate (n/v)	an approximate calculation	Estimate the cost first.	estimación/estimar	b1 awl sublist1
factor (n)	an element contributing to a result	Money is one factor.	factor	b1 awl sublist1
finance (n/v)	money management; to fund	I work in finance.	finanzas/financiar	b1 awl sublist1
formula (n)	a mathematical rule; a fixed method	The formula is on the board.	fórmula	b1 awl sublist1
function (n/v)	purpose; to operate	What is the function of this button?	función/funcionar	b1 awl sublist1
identify (v)	to recognize	Identify the main idea.	identificar	b1 awl sublist1
income (n)	money received	My income is sufficient.	ingresos	b1 awl sublist1
indicate (v)	to point out	The sign indicates the exit.	indicar	b1 awl sublist1
individual (n/adj)	a single person; separate	Each individual is unique.	individuo/individual	b1 awl sublist1
involve (v)	to include necessarily	The job involves travel.	implicar/conllevar	b1 awl sublist1
issue (n/v)	a topic of debate; to publish	That's a serious issue.	asunto/emitir	b1 awl sublist1
labour (n)	work; workers	Manual labour is hard.	trabajo/mano de obra	b1 awl sublist1
legal (adj)	relating to law	Take legal advice.	legal	b1 awl sublist1
major (adj)	important	A major problem.	importante/principal	b1 awl sublist1
method (n)	a way of doing something	What method do you use?	método	b1 awl sublist1
occur (v)	to happen	The accident occurred yesterday.	ocurrir	b1 awl sublist1
period (n)	a length of time	A period of growth.	período	b1 awl sublist1
policy (n)	a plan of action	A new education policy.	política/normativa	b1 awl sublist1
principle (n)	a basic rule	Principles of physics.	principio	b1 awl sublist1
process (n/v)	a series of actions	Learning is a slow process.	proceso/procesar	b1 awl sublist1
research (n/v)	systematic study	Research shows that...	investigación	b1 awl sublist1
respond (v)	to reply	Please respond by Friday.	responder	b1 awl sublist1
role (n)	a function or position	She plays a key role.	papel/función	b1 awl sublist1
section (n)	a part of something	The first section is easy.	sección	b1 awl sublist1
sector (n)	a branch of industry	The tech sector is growing.	sector	b1 awl sublist1
source (n)	where something comes from	Cite your sources.	fuente	b1 awl sublist1
specific (adj)	clearly defined	Give specific examples.	específico	b1 awl sublist1
structure (n/v)	an organized arrangement	The structure of the essay is good.	estructura/estructurar	b1 awl sublist1
theory (n)	a system of ideas	Einstein's theory.	teoría	b1 awl sublist1
vary (v)	to differ; to change	Prices vary by season.	variar	b1 awl sublist1
achieve (v)	to accomplish	She achieved her goal.	lograr	b1 awl sublist2
aspect (n)	a particular side or feature	Every aspect of life.	aspecto	b1 awl sublist2
assist (v)	to help	Can I assist you?	asistir	b1 awl sublist2
category (n)	a class or division	What category is this?	categoría	b1 awl sublist2
community (n)	a group of people living together	Our community supports each other.	comunidad	b1 awl sublist2
conclude (v)	to bring to an end; to deduce	I conclude that we should leave.	concluir	b1 awl sublist2
conduct (v/n)	to carry out; behavior	Conduct the experiment.	llevar a cabo/conducta	b1 awl sublist2
consequence (n)	a result	Face the consequences.	consecuencia	b1 awl sublist2
construct (v/n)	to build	Construct an argument.	construir	b1 awl sublist2
consume (v)	to use up; to eat	Don't consume too much sugar.	consumir	b1 awl sublist2
credit (n/v)	praise; financial trust	You deserve credit for this.	crédito/acreditar	b1 awl sublist2
