cumbersome (adj)	large, heavy or difficult to manage	A cumbersome bureaucratic process.	engorroso	b2 adjective
aforementioned (adj)	previously mentioned	The aforementioned issue must be addressed.	antes mencionado	b2 adjective formal
notwithstanding (prep)	despite	Notwithstanding the rain, the event continued.	a pesar de	b2 preposition formal
mitigate (v)	to make less severe	Steps to mitigate climate change.	mitigar	b2 verb academic
paradigm (n)	a typical pattern or model	A paradigm shift in science.	paradigma	b2 noun academic
albeit (conj)	although	He agreed, albeit reluctantly.	aunque	b2 conjunction formal
juxtapose (v)	to place side by side for contrast	The film juxtaposes wealth and poverty.	yuxtaponer	b2 verb academic
surreptitious (adj)	done secretly	A surreptitious glance.	furtivo	b2 adjective
caveat (n)	a warning or condition	With one important caveat.	advertencia	b2 noun academic
dichotomy (n)	a division into two contrasting parts	The dichotomy between work and life.	dicotomía	b2 noun academic
ubiquitous (adj)	present everywhere	Smartphones are ubiquitous.	ubicuo	b2 adjective
scrutinize (v)	to examine carefully	Scrutinize the data.	escudriñar	b2 verb
ambiguous (adj)	having multiple meanings	An ambiguous statement.	ambiguo	b2 adjective awl
coherent (adj)	logical and consistent	A coherent argument.	coherente	b2 adjective awl
constitute (v)	to make up or form	Twelve members constitute the board.	constituir	b2 verb awl
derive (v)	to obtain or come from	The word derives from Latin.	derivar	b2 verb awl
diminish (v)	to become or make smaller	His influence diminished.	disminuir	b2 verb
prevail (v)	to win or be common	Justice prevailed.	prevalecer	b2 verb
compelling (adj)	powerful and convincing	A compelling argument.	convincente	b2 adjective
contemplate (v)	to think about deeply	She contemplated her options.	contemplar	b2 verb
a discrepancy between (coll)	the fixed pattern: a difference between two things	There is a discrepancy between the two accounts.	una discrepancia entre	b2 collocation academic
endeavor (n/v)	a serious attempt	A worthy endeavor.	esfuerzo/empresa	b2 noun verb
prerequisite (n)	something required first	A prerequisite for admission.	requisito previo	b2 noun academic
unprecedented (adj)	never done or known before	An unprecedented event.	sin precedentes	b2 adjective
facilitate (v)	to make easier	Technology facilitates learning.	facilitar	b2 verb awl
undermine (v)	to weaken	Bad data undermines the analysis.	socavar	b2 verb
come to terms with (chunk)	to accept (something difficult)	He came to terms with the loss.	aceptar	b2 chunk
in light of (chunk)	considering	In light of recent events…	a la luz de	b2 chunk formal
bear in mind (chunk)	to remember	Bear in mind the deadline.	tener en cuenta	b2 chunk
by and large (chunk)	generally	By and large, things went well.	en general	b2 chunk
evident (adj)	obvious	It was evident she was tired.	evidente	b2 awl sublist1
interpret (v)	to explain meaning	Interpret these results.	interpretar	b2 awl sublist1
legislate (v)	to make laws	Congress legislated against pollution.	legislar	b2 awl sublist1
proceed (v)	to continue	Please proceed to gate 5.	proceder	b2 awl sublist1
administrate (v)	to manage	She administrates the program.	administrar	b2 awl sublist2
commission (n)	authority granted; a fee	A government commission.	comisión	b2 awl sublist2
compute (v)	to calculate	Compute the average.	calcular	b2 awl sublist2
distinct (adj)	clearly different	Two distinct categories.	distinto	b2 awl sublist2
equate (v)	to consider as equal	He equates wealth with happiness.	equiparar	b2 awl sublist2
perceive (v)	to become aware of	I perceive a problem here.	percibir	b2 awl sublist2
regulate (v)	to control by rules	Laws regulate behavior.	regular	b2 awl sublist2
reside (v)	to live in a place	He resides in Madrid.	residir	b2 awl sublist2
restrict (v)	to limit	Restrict your sugar intake.	restringir	b2 awl sublist2
circumstance (n)	a condition or situation	Under the circumstances...	circunstancia	b2 awl sublist3
compensate (v)	to make up for	Money compensates time.	compensar	b2 awl sublist3
consent (n/v)	agreement; to agree	With your consent.	consentimiento/consentir	b2 awl sublist3
considerable (adj)	notably large	A considerable amount.	considerable	b2 awl sublist3
convene (v)	to gather formally	The committee convened.	convocar	b2 awl sublist3
