id	front	definition	example	translation	tags
b1-001	eventually (adv)	in the end, after a long time	Eventually, she found a job.	finalmente	b1 adverb
b1-002	reluctant (adj)	unwilling or hesitant	He was reluctant to leave.	reacio	b1 adjective
b1-003	thorough (adj)	complete and careful	A thorough investigation.	minucioso	b1 adjective
b1-004	overcome (v)	to defeat or get past	She overcame her fears.	superar	b1 verb irregular
b1-005	occurrence (n)	an event that happens	A rare occurrence.	suceso	b1 noun
b1-006	inevitable (adj)	certain to happen	Change is inevitable.	inevitable	b1 adjective
b1-007	glimpse (n/v)	a brief look	I caught a glimpse of him.	vistazo	b1 noun verb
b1-008	outweigh (v)	to be more important than	The benefits outweigh the risks.	superar/pesar más	b1 verb
b1-009	discrepancy (n)	a difference between things	There's a discrepancy in the numbers.	discrepancia	b1 noun academic
b1-010	assess (v)	to evaluate	We need to assess the damage.	evaluar	b1 verb academic awl
b1-011	approach (n/v)	a way of dealing with; to come near	A new approach to teaching.	enfoque	b1 noun verb awl
b1-012	acquire (v)	to obtain	He acquired new skills.	adquirir	b1 verb awl
b1-013	emerge (v)	to come out or appear	A new pattern emerged.	emerger	b1 verb awl
b1-014	establish (v)	to set up; to prove	The company was established in 1990.	establecer	b1 verb awl
b1-015	significant (adj)	important; substantial	A significant improvement.	significativo	b1 adjective awl
b1-016	appropriate (adj)	suitable	An appropriate response.	apropiado	b1 adjective awl
b1-017	impact (n/v)	a strong effect	The impact was huge.	impacto	b1 noun verb awl
b1-018	sufficient (adj)	enough	Sufficient evidence.	suficiente	b1 adjective awl
b1-019	complex (adj)	complicated	A complex problem.	complejo	b1 adjective awl
b1-020	reveal (v)	to show what was hidden	Reveal the secret.	revelar	b1 verb awl
b1-021	come up with (phr)	to invent or produce (an idea)	She came up with a great idea.	idear	b1 phrasal-verb
b1-022	deal with (phr)	to handle (a situation)	I'll deal with it.	lidiar con	b1 phrasal-verb
b1-023	look forward to (phr)	to anticipate with pleasure	I look forward to seeing you.	tener ganas de	b1 phrasal-verb
b1-024	keep up with (phr)	to maintain the pace of	I can't keep up with him.	seguir el ritmo de	b1 phrasal-verb
b1-025	put up with (phr)	to tolerate	I can't put up with the noise.	aguantar	b1 phrasal-verb
b1-026	run out of (phr)	to exhaust supply	We ran out of milk.	quedarse sin	b1 phrasal-verb
b1-027	figure out (phr)	to understand by thinking	I can't figure out the puzzle.	resolver	b1 phrasal-verb
b1-028	end up (phr)	to finally be in a situation	I ended up staying home.	acabar (en)	b1 phrasal-verb
b1-029	break down (phr)	to stop functioning	The car broke down.	averiarse	b1 phrasal-verb
b1-030	get rid of (phr)	to dispose of	Get rid of these old clothes.	deshacerse de	b1 phrasal-verb
b1-031	take advantage of (chunk)	to exploit a situation	Take advantage of the offer.	aprovechar	b1 chunk
b1-032	have a point (chunk)	to make a valid argument	You have a point.	tener razón	b1 chunk
b1-033	make up your mind (chunk)	to decide	Make up your mind already!	decidirse	b1 chunk
b1-034	reach a conclusion (chunk)	to decide after thinking	We reached a conclusion.	llegar a una conclusión	b1 chunk
b1-035	provide (v)	to supply something needed	The hotel provides breakfast.	proporcionar	b1 verb freq:top100
b1-036	lead (v)	to guide	She leads the team.	liderar/llevar	b1 verb irregular freq:top100
b1-037	consider (v)	to think about carefully	Please consider my offer.	considerar	b1 verb freq:top100
